iter	RMSE
0	0.2801297073
1	0.2748409202
2	0.2698114548
3	0.264948539
4	0.2602424833
5	0.2557852597
6	0.251518114
7	0.2474065097
8	0.2434665062
9	0.2395637025
10	0.2359377052
11	0.2324441156
12	0.2290969067
13	0.2258308105
14	0.2227145649
15	0.2196678637
16	0.2167751036
17	0.2139879275
18	0.211391503
19	0.208941089
20	0.2064422712
21	0.2041475233
22	0.2018674033
23	0.1997151856
24	0.1976729
25	0.1956994019
26	0.1937937619
27	0.1919631519
28	0.1902377391
29	0.1885936803
30	0.1870205501
31	0.1855299354
32	0.184154459
33	0.182794182
34	0.1814736665
35	0.1802290251
36	0.1790327777
37	0.1778742728
38	0.1767963165
39	0.1757513505
40	0.174768469
41	0.1737761339
42	0.172869093
43	0.1719959954
44	0.1711633487
45	0.1703603239
46	0.1695638221
47	0.1688294618
48	0.1681439563
49	0.1675174044
50	0.1669039334
51	0.1663105023
52	0.1657406205
53	0.1651834198
54	0.16465867
55	0.1641565575
56	0.1636784141
57	0.1632051126
58	0.162773499
59	0.162372924
60	0.1619782881
61	0.1615942216
62	0.1612600057
63	0.1609050129
64	0.160574284
65	0.1602616438
66	0.159973999
67	0.1596826655
68	0.1594145103
69	0.1591740243
70	0.1589280101
71	0.1586879722
72	0.1584560824
73	0.1582352356
74	0.1580231389
75	0.1578203525
76	0.1576191778
77	0.1574465518
78	0.1572765112
79	0.1571203663
80	0.1569746865
81	0.1568198053
82	0.1566638104
83	0.1565192891
84	0.1563820642
85	0.1562463689
86	0.1561180964
87	0.1559945448
88	0.1558835322
89	0.1557822304
90	0.1556682242
91	0.1555566894
92	0.1554640624
93	0.1553604504
94	0.1552695306
95	0.1551756776
96	0.1550793161
97	0.1549878847
98	0.1549163989
99	0.1548398929
100	0.1547593559
101	0.1546861216
102	0.1546194331
103	0.1545377329
104	0.1544787584
105	0.1544207426
106	0.1543485038
107	0.1542795244
108	0.1542180963
109	0.1541529199
110	0.1540949607
111	0.1540358781
112	0.1539737038
113	0.1539235253
114	0.1538734107
115	0.1538187396
116	0.1537663719
117	0.1537291523
118	0.1536824356
119	0.1536406829
120	0.1536082956
121	0.1535561659
122	0.1535101686
123	0.1534652174
124	0.1534281783
125	0.1533969395
126	0.1533495662
127	0.1533195339
128	0.1532833192
129	0.1532345329
130	0.1532020311
131	0.1531728557
132	0.1531404708
133	0.1531033759
134	0.1530694976
135	0.1530389355
136	0.1530151583
137	0.152977726
138	0.1529539655
139	0.1529206158
140	0.1528845655
141	0.1528558352
142	0.1528183635
143	0.1527873594
144	0.1527579875
145	0.1527309706
146	0.1527028124
147	0.1526742225
148	0.1526451093
149	0.1526202524
150	0.1525917261
151	0.1525639332
152	0.1525420849
153	0.1525173235
154	0.1524924758
155	0.1524688197
156	0.1524436453
157	0.1524198815
158	0.1523901629
159	0.1523675086
160	0.1523417653
161	0.152314066
162	0.1522967
163	0.1522766245
164	0.1522583638
165	0.1522451657
166	0.1522253035
167	0.1521917216
168	0.1521736363
169	0.1521575656
170	0.1521380622
171	0.1521229933
172	0.1521073966
173	0.1520848163
174	0.1520646998
175	0.1520440979
176	0.152022427
177	0.1520015299
178	0.1519801278
179	0.1519551331
180	0.1519345231
181	0.1519167921
182	0.1518968244
183	0.1518736969
184	0.151847115
185	0.1518271923
186	0.1518133616
187	0.1517948205
188	0.1517741003
189	0.1517588711
190	0.1517413705
191	0.1517248105
192	0.1517075873
193	0.1516922072
194	0.1516728156
195	0.1516601231
196	0.1516450623
197	0.1516274639
198	0.1516144155
199	0.1515972309
200	0.1515748504
201	0.151560738
202	0.1515470053
203	0.1515308974
204	0.151515492
205	0.1514987276
206	0.1514775568
207	0.1514646059
208	0.1514444176
209	0.1514317565
210	0.1514156151
211	0.1513960086
212	0.1513810797
213	0.1513606755
214	0.151346208
215	0.1513262968
216	0.1513137804
217	0.1512979504
218	0.1512811655
219	0.1512682742
220	0.1512549759
221	0.1512374274
222	0.1512257523
223	0.1512110095
224	0.1511992205
225	0.1511829301
226	0.1511659025
227	0.1511557535
228	0.1511366575
229	0.1511221777
230	0.1511142655
231	0.1510973466
232	0.1510820522
233	0.1510696984
234	0.1510571527
235	0.1510436774
236	0.1510287774
237	0.151007892
238	0.1509938414
239	0.1509765063
240	0.1509650618
241	0.1509501629
242	0.1509401951
243	0.15092884
244	0.1509140124
245	0.1509015351
246	0.150887689
247	0.150871737
248	0.1508548128
249	0.1508427342
250	0.1508273896
251	0.1508181356
252	0.1508075589
253	0.1507978986
254	0.1507800002
255	0.150769492
256	0.1507563256
257	0.1507453792
258	0.1507340535
259	0.1507203051
260	0.1507063863
261	0.1506930036
262	0.1506808634
263	0.1506653817
264	0.1506519374
265	0.150638624
266	0.1506278423
267	0.1506151265
268	0.1506026509
269	0.1505926434
270	0.1505794552
271	0.1505653739
272	0.1505556677
273	0.1505455297
274	0.150531612
275	0.1505206987
276	0.1505099229
277	0.1504970683
278	0.1504833184
279	0.1504755104
280	0.1504634812
281	0.150452032
282	0.1504404426
283	0.1504291964
284	0.150422475
285	0.1504089767
286	0.1504004181
287	0.1503877981
288	0.1503774409
289	0.1503636976
290	0.1503539199
